m1,k1,l1,f,m2,k2,l2,Damping Time (tau),best l,amp
18.59,7733.864736,75.84231196,1,0.5,208.0114238,20.39663814,1.362,3.2339566227888663,0.0005028637846705771
17.86,7032.422119,70.88538219,1,0.5,196.8763191,19.84320131,1.551,3.146207323645112,0.0005501628703105213
17.42,6478.182099,67.17932584,1,0.5,185.9409328,19.28423879,1.602,3.057581907484017,0.0005953967418208993
17.23,5709.059021,62.7351789,1,0.5,165.6720552,18.20285995,1.701,2.886125599961284,0.0006745625023696997
17.73,5236.408079,60.93888782,1,0.5,147.6708426,17.185508,1.7910000000000001,2.7248209744721708,0.0007382113176820437
18.67,4939.862531,60.74118592,1,0.5,132.2941224,16.26616872,1.71,2.5790565924824067,0.0007877526138704699
21.78,7685.682866,81.82036249,1,0.5,176.4390006,18.78504728,1.461,2.9784333890505534,0.0005169165864350548
25.18,7684.939205,87.97037162,1,0.5,152.6000636,17.46997788,1.557,2.769924645287696,0.0005273698858879463
32.39,7740.782907,100.1450059,1,0.5,119.493407,15.45919836,1.917,2.451108686449873,0.000541799227105335
39.92,7812.167905,111.6860668,1,0.5,97.8477944,13.98912395,1.95,1.399383829070341,0.0005332645577745983
47.62,7879.729707,122.5123756,1,0.5,82.73550721,12.86355372,2.097,1.2867888743058589,0.000537707286171933
26.13,8507.589499,94.30456349,1,0.5,162.7935228,18.04403074,1.5030000000000001,2.860942686382771,0.0004787554377267024
34.19,9098.505228,111.5531994,1,0.5,133.0579881,16.31306152,1.821,2.5864916060410246,0.00046423904692879177
51.09,9912.534203,142.3338882,1,0.5,97.01051285,13.92914304,1.932,1.3933837167111307,0.00043036357492499434
68.42,10420.87192,168.8762119,1,0.5,76.15369716,12.3412882,2.184,0.7788925690445978,0.0004189380672362838
86.06,10780.38221,192.6403321,1,0.5,62.63294335,11.19222439,2.394,0.7063719983826897,0.0004107108132702518
3.68,12024.37209,42.08469232,1,0.5,1633.746208,57.16198401,0.453,22.768867329776967,0.00028330570647233915
4.53,11543.25569,45.75813405,1,0.5,1274.090032,50.47950142,0.555,20.107088489164354,0.00030496399027502973
6,12600.01472,54.99094046,1,0.5,1050.001227,45.82578372,0.63,11.516347657179056,0.00027408361192800235
10.06,16309.07673,81.00331351,1,0.5,810.5902947,40.26388691,0.687,10.118603154025903,0.00022849861144442834
15.63,21603.58791,116.2320303,1,0.5,691.0936631,37.17778001,0.729,9.343042387083518,0.00018573749080303073
22.89,28454.21615,161.4168043,1,0.5,621.5425109,35.25741088,0.774,5.590182883823238,0.00014056066880361413
